Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
1e,Text,,,,,The Eater gains +10[attack] and [health],Le Mangeur Gagne +10[attack] et [health],The Eater gains +10[attack] and [health],The Eater gains +10[attack] and [health],The Eater gains +10[attack] and [health],The Eater gains +10[attack] and [health]
2e,Text,,,,,The Eater gains +10[attack] +40 [health] and [capacity],Le Mangeur Gagne +10[attack] +40[health] et [capacity],The Eater gains +10[attack] +40 [health] and [capacity],The Eater gains +10[attack] +40 [health] and [capacity],The Eater gains +10[attack] +40 [health] and [capacity],The Eater gains +10[attack] +40 [health] and [capacity]
3e,Text,,,,,The Eater gains +30[attack] +70 [health] and +2[capacity],Le Mangeur Gagne +30[attack] +70[health] et +2[capacity],The Eater gains +30[attack] +70 [health] and +2[capacity],The Eater gains +30[attack] +70 [health] and +2[capacity],The Eater gains +30[attack] +70 [health] and +2[capacity],The Eater gains +30[attack] +70 [health] and +2[capacity]
Janitor_I,Text,,,,,Janitor I,concierge I,Janitor I,Janitor I,Janitor I,Janitor I
Janitor_II,Text,,,,,Janitor II,concierge II,Janitor II,Janitor II,Janitor II,Janitor II
Janitor_III,Text,,,,,Janitor III,concierge III,Janitor III,Janitor III,Janitor III,Janitor III
1f,Text,,,,,Gain <b>Regen</b> [effect0.status0.power],Obtient <b>Régénération</b> [effect0.status0.power],Gain <b>Regen</b> [effect0.status0.power],Gain <b>Regen</b> [effect0.status0.power],Gain <b>Regen</b> [effect0.status0.power],Gain <b>Regen</b> [effect0.status0.power]
2f,Text,,,,,Gain <b>Buffet</b> [effect0.status0.power],Obtient <b>Buffet</b> [effect0.status0.power],Gain <b>Buffet</b> [effect1.status0.power],Gain <b>Buffet</b> [effect0.status0.power],Gain <b>Buffet</b> [effect0.status0.power],Gain <b>Buffet</b> [effect0.status0.power]
3f,Text,,,,,Deal [effect0.power] damage twice to all enemies,Afflige [effect0.power] dégât deux fois aux enemis,Deal [effect0.power] damage twice to all enemies,Deal [effect0.power] damage twice to all enemies,Deal [effect0.power] damage twice to all enemies,Deal [effect0.power] damage twice to all enemies
1g,Text,,,,,Apply <b>sap</b> [effect0.status0.power] to all enemies,Confère <b>affaiblissement</b> [effect0.status0.power] aux enemis,Apply <b>sap</b> [effect0.status0.power] to all enemies,Apply <b>sap</b> [effect0.status0.power] to all enemies,Apply <b>sap</b> [effect0.status0.power] to all enemies,Apply <b>sap</b> [effect0.status0.power] to all enemies
Catering_I,Text,,,,,Catering I,Traiteur I,Catering I,Catering I,Catering I,Catering I
Catering_II,Text,,,,,Catering II,Traiteur II,Catering II,Catering II,Catering II,Catering II
Catering_III,Text,,,,,Catering III,Traiteur III,Catering III,Catering III,Catering III,Catering III
Brute_I,Text,,,,,Brute I,Brute I,Brute I,Brute I,Brute I,Brute I
1c,Text,,,,,Rosette Gain 5[attack] and [health],Rosette Gagne 5[attack] et [health],Rosette Gain 5[attack] and [health],Rosette Gain 5[attack] and [health],Rosette Gain 5[attack] and [health],Rosette Gain 5[attack] and [health]
Brute_II,Text,,,,,Brute II,Brute II,Brute II,Brute II,Brute II,Brute II
2c,Text,,,,,Rosette Gain 10[attack] and [health],Rosette Gagne 10[attack] et [health],Rosette Gain 10[attack] and [health],Rosette Gain 10[attack] and [health],Rosette Gain 10[attack] and [health],Rosette Gain 10[attack] and [health]
Brute_III,Text,,,,,Brute III,Brute III,Brute III,Brute III,Brute III,Brute III
3c,Text,,,,,Rosette Gain 20[attack] and [health],Rosette Gagne 20[attack] et [health],Rosette Gain 20[attack] and [health],Rosette Gain 20[attack] and [health],Rosette Gain 20[attack] and [health],Rosette Gain 20[attack] and [health]
Card_I,Text,,,,,Dove-livery,Colombe Voyageuse,Dove-livery,Dove-livery,Dove-livery,Dove-livery
Spell_I,Text,,,,,Draw 1 card,Pioche 1 carte,Draw 1 card,Draw 1 card,Draw 1 card,Draw 1 card
Card_II,Text,,,,,Portal Master,Maître des Portails,Portal Master,Portal Master,Portal Master,Portal Master
Spell_II,Text,,,,,Descend a unit to the bottom floor,Descendez une unité tout en-bas,Descend a unit to the bottom floor,Descend a unit to the bottom floor,Descend a unit to the bottom floor,Descend a unit to the bottom floor
Card_III,Text,,,,,Punish,Punir,Punish,Punish,Punish,Punish
Spell_III,Text,,,,,Deal [effect0.power] damage to an enemy,Infligez [effect0.power] dégât a un enemi,Deal [effect0.power] damage to an enemy,Deal [effect0.power] damage to an enemy,Deal [effect0.power] damage to an enemy,Deal [effect0.power] damage to an enemy
Card_IV,Text,,,,,Fight Till The Last One Drops,Jusqu'À La Dernière Bouchée,Fight Till The Last One Drops,Fight Till The Last One Drops,Fight Till The Last One Drops,Fight Till The Last One Drops
Spell_IV,Text,,,,,Apply Relentless to a non-boss enemy,Confère Impitoyable à un enemi non-boss,Apply Relentless to a non-boss enemy,Apply Relentless to a non-boss enemy,Apply Relentless to a non-boss enemy,Apply Relentless to a non-boss enemy
Card_V,Text,,,,,Spacial Renovation,Rénovation Dimentionnelles,Spacial Renovation,Spacial Renovation,Spacial Renovation,Spacial Renovation
Spell_V,Text,,,,,Give a Room 3 [capacity] and heal the Pyre for 10,Augmente un étage par 3[capacity]  et soigne le brasier de 10,Give a Room 3 [capacity] and heal the Pyre for 10,Give a Room 3 [capacity] and heal the Pyre for 10,Give a Room 3 [capacity] and heal the Pyre for 10,Give a Room 3 [capacity] and heal the Pyre for 10
Card_VI,Text,,,,,All You Can Eat,Repas À Volonté,All You Can Eat,All You Can Eat,All You Can Eat,All You Can Eat
Spell_VI,Text,,,,,Apply <b>Buffet</b> [effect0.status0.power],Confère <b>Buffet</b> [effect0.status0.power],Apply <b>Buffet</b> [effect0.status0.power],Apply <b>Buffet</b> [effect0.status0.power],Apply <b>Buffet</b> [effect0.status0.power],Apply <b>Buffet</b> [effect0.status0.power]
Card_VII,Text,,,,,Seconds,Seconde Assiette,Seconds,Seconds,Seconds,Seconds
Spell_VII,Text,,,,,Apply [effect0.status0.power] <b>sap</b> to everyone and + 10 [health],Confère [effect0.status0.power] <b>affaiblissement</b> et + 10 [health] à tout l'étage,Apply [effect0.status0.power] <b>sap</b> to everyone and + 10 [health],Apply [effect0.status0.power] <b>sap</b> to everyone and + 10 [health],Apply [effect0.status0.power] <b>sap</b> to everyone and + 10 [health],Apply [effect0.status0.power] <b>sap</b> to everyone and + 10 [health]
Card_VIII,Text,,,,,Empowering Care,Soin Renforçant,Empowering Care,Empowering Care,Empowering Care,Empowering Care
Spell_VIII,Text,,,,,+10 [health] a friendly unit and Heal it by [effect0.power],Confère 10 [health] à une unitée alliée et soigne de [effect0.power],+ 10 [health] a friendly unit and Heal it by [effect0.power],+ 10 [health] a friendly unit and Heal it by [effect0.power],+ 10 [health] a friendly unit and Heal it by [effect0.power],+ 10 [health] a friendly unit and Heal it by [effect0.power]
Card_IX,Text,,,,,Dine And Dash,Sur Le Pouce,Dine And Dash,Dine And Dash,Dine And Dash,Dine And Dash
Spell_IX,Text,,,,,Deal [effect0.power] damage,Afflige [effect0.power] dégât,Deal [effect0.power] damage,Deal [effect0.power] damage,Deal [effect0.power] damage,Deal [effect0.power] damage
Card_X,Text,,,,,Back of the line!,À La Fin De La File!,Back of the line!,Back of the line!,Back of the line!,Back of the line!
Spell_X,Text,,,,,Deal [effect0.power] damage to the front enemy and push them to the back,Afflige [effect0.power] dégât à l'enemi au front et pousse le en arrière,Deal [effect0.power] damage to the front enemy and push them to the back,Deal [effect0.power] damage to the front enemy and push them to the back,Deal [effect0.power] damage to the front enemy and push them to the back,Deal [effect0.power] damage to the front enemy and push them to the back
Card_XI,Text,,,,,Full Course,Repas Complet,Full Course,Full Course,Full Course,Full Course
Spell_XI,Text,,,,,Apply "[armor] [effect0.status0.power]"  "<b>Rage</b> [effect2.status0.power]"  and <b>Quick</b>,Confère "[armor] [effect0.status0.power]"  "<b>Rage</b> [effect2.status0.power]" et <b>Rapidité</b>,Apply "[armor] [effect0.status0.power]"  "<b>Rage</b> [effect2.status0.power]"  and <b>Quick</b>,Apply "[armor] [effect0.status0.power]"  "<b>Rage</b> [effect2.status0.power]"  and <b>Quick</b>,Apply "[armor] [effect0.status0.power]"  "<b>Rage</b> [effect2.status0.power]"  and <b>Quick</b>,Apply "[armor] [effect0.status0.power]"  "<b>Rage</b> [effect2.status0.power]"  and <b>Quick</b>
Card_XII,Text,,,,,Leftovers,Restants,Leftovers,Leftovers,Leftovers,Leftovers
Spell_XII,Text,,,,,Apply <b>Buffet</b> [effect0.status0.power],Confère <b>Buffet</b> [effect0.status0.power],Apply <b>Buffet</b> [effect0.status0.power],Apply <b>Buffet</b> [effect0.status0.power],Apply <b>Buffet</b> [effect0.status0.power],Apply <b>Buffet</b> [effect0.status0.power]
Card_XIII,Text,,,,,Begrudging Patron,Client Contre Volonté,Begrudging Patron,Begrudging Patron,Begrudging Patron,Begrudging Patron
Spell_XIII,Text,,,,,Apply [effect0.status0.power] <b>Sap</b>,Confère [effect0.status0.power] <b>affaiblissement</b>,Apply [effect0.status0.power] <b>Sap</b>,Apply [effect0.status0.power] <b>Sap</b>,Apply [effect0.status0.power] <b>Sap</b>,Apply [effect0.status0.power] <b>Sap</b>
Card_XIV,Text,,,,,Snakification,Snakification,Snakification,Snakification,Snakification,Snakification
Spell_XIV,Text,,,,,Kill a non-boss enemy unit then give all the other [effect1.status0.power] [armor],Élimine une unité non-boss puis donne aux autres ennemis [effect1.status0.power] [armor],Kill a non-boss enemy unit then give all the other [effect1.status0.power] [armor],Kill a non-boss enemy unit then give all the other [effect1.status0.power] [armor],Kill a non-boss enemy unit then give all the other [effect1.status0.power] [armor],Kill a non-boss enemy unit then give all the other [effect1.status0.power] [armor]
Card_XV,Text,,,,,Diner Spectacle,Diner Spectacle,Diner Spectacle,Diner Spectacle,Diner Spectacle,Diner Spectacle
Spell_XV,Text,,,,,Apply [effect0.status0.power] <b>Lifesteal</b> with [effect1.status0.power] <b>Rage</b> and [effect2.status0.power] [armor] to all friendly units,Confère [effect0.status0.power] <b>Vol de vie</b> ainsi que [effect1.status0.power] <b>Rage</b> et [effect2.status0.power] [armor] aux unitées alliées,Apply [effect0.status0.power] <b>Lifesteal</b> with [effect1.status0.power] <b>Rage</b> and [effect2.status0.power] [armor] to all friendly units,Apply [effect0.status0.power] <b>Lifesteal</b> with [effect1.status0.power] <b>Rage</b> and [effect2.status0.power] [armor] to all friendly units,Apply [effect0.status0.power] <b>Lifesteal</b> with [effect1.status0.power] <b>Rage</b> and [effect2.status0.power] [armor] to all friendly units,Apply [effect0.status0.power] <b>Lifesteal</b> with [effect1.status0.power] <b>Rage</b> and [effect2.status0.power] [armor] to all friendly units
Card_XVI,Text,,,,,Tuning Fork,Fourchette Diapason,Tuning Fork,Tuning Fork,Tuning Fork,Tuning Fork
Spell_XVI,Text,,,,,Deal [effect0.power] damage,Afflige [effect0.power] Dégât,Deal [effect0.power] damage,Deal [effect0.power] damage,Deal [effect0.power] damage,Deal [effect0.power] damage
Card_XVII,Text,,,,,Veil of Reality,Voile De La Réalitée,Veil of Reality,Veil of Reality,Veil of Reality,Veil of Reality
Spell_XVII,Text,,,,,Discard 2 cards then draw 2,Défausse 2 cartes puis pioche 2,Discard 2 cards then draw 2,Discard 2 cards then draw 2,Discard 2 cards then draw 2,Discard 2 cards then draw 2
Card_XVIII,Text,,,,,Work Shift,Quart De Travail,Work Shift,Work Shift,Work Shift,Work Shift
Spell_XVIII,Text,,,,,Heal [effect0.power] and push the target to the back,Soigne [effect0.power] et pousse la cible à l'arrière,Heal [effect0.power] and push the target to the back,Heal [effect0.power] and push the target to the back,Heal [effect0.power] and push the target to the back,Heal [effect0.power] and push the target to the back
Card_XIX,Text,,,,,Hospitality,Hospitalité,Hospitality,Hospitality,Hospitality,Hospitality
Spell_XIX,Text,,,,,+ 3 [health] and apply [effect1.status0.power] <b>Sap</b>,+ 3 [health] et Confère [effect1.status0.power] <b>affaiblissement</b>,+ 3 [health] and apply [effect1.status0.power] <b>Sap</b>,+ 3 [health] and apply [effect1.status0.power] <b>Sap</b>,+ 3 [health] and apply [effect1.status0.power] <b>Sap</b>,+ 3 [health] and apply [effect1.status0.power] <b>Sap</b>
Card_XX,Text,,,,,Crab Cake,Crustgâteau,Crab Cake,Crab Cake,Crab Cake,Crab Cake
Mon_I,Text,,,,,Apply [effect0.status0.power] [armor],Confère [effect0.status0.power] [armor],Apply [effect0.status0.power] [armor],Apply [effect0.status0.power] [armor],Apply [effect0.status0.power] [armor],Apply [effect0.status0.power] [armor]
Card_XXI,Text,,,,,Delivery Boy,Livreur,Delivery Boy,Delivery Boy,Delivery Boy,Delivery Boy
Card_XXII,Text,,,,,Mint,Menthe,Mint,Mint,Mint,Mint
Mon_II,Text,,,,,Apply <b>Frostbite</b> [effect0.status0.power] to all enemies,Confère <b>Gelure</b> [effect0.status0.power] aux ennemis,Apply <b>Frostbite</b> [effect0.status0.power] to all enemies,Apply <b>Frostbite</b> [effect0.status0.power] to all enemies,Apply <b>Frostbite</b> [effect0.status0.power] to all enemies
Card_XXIII,Text,,,,,Sherbet-rus,Sorbère,Sherbet-rus,Sherbet-rus,Sherbet-rus,Sherbet-rus
Mon_III,Text,,,,,Apply <b>Rooted</b> [effect0.status0.power] on all enemies,Confère <b>Enraciné</b> [effect0.status0.power] aux ennemis,Apply <b>Rooted</b> [effect0.status0.power] on all enemies,Apply <b>Rooted</b> [effect0.status0.power] on all enemies,Apply <b>Rooted</b> [effect0.status0.power] on all enemies,Apply <b>Rooted</b> [effect0.status0.power] on all enemies
Card_XXIV,Text,,,,,Sour Guard,Garde Acide,Sour Guard,Sour Guard,Sour Guard,Sour Guard
Mon_IV,Text,,,,,The front enemy lose 1 [attack] and 4 [health],L'ennemi au front perd 1 [attack] et 4 [health],The front enemy lose 1 [attack] and 4 [health],The front enemy lose 1 [attack] and 4 [health],The front enemy lose 1 [attack] and 4 [health],The front enemy lose 1 [attack] and 4 [health]
Card_XXV,Text,,,,,Lime,Lime,Lime,Lime,Lime,Lime
Mon_V,Text,,,,,Summon a Sour Guard then send the front unit to the back,Invoque un Garde Acide puis envois l'unité au front en arrière,Summon a Sour Guard then send the front unit to the back,Summon a Sour Guard then send the front unit to the back,Summon a Sour Guard then send the front unit to the back,Summon a Sour Guard then send the front unit to the back
Card_XXVI,Text,,,,,Sourling,Sourling,Sourling,Sourling,Sourling,Sourling
Mon_VI,Text,,,,,The front enemy lose 1 [attack] and 2 [health],L'ennemi au front perd 1 [attack] et 2 [health],The front enemy lose 1 [attack] and 2 [health],The front enemy lose 1 [attack] and 2 [health],The front enemy lose 1 [attack] and 2 [health],The front enemy lose 1 [attack] and 2 [health]
Card_XXVII,Text,,,,,Cayenne,Cayenne,Cayenne,Cayenne,Cayenne,Cayenne
Mon_VII,Text,,,,,Apply [effect0.status0.power] <b>Rage</b>,Confère [effect0.status0.power] <b>Rage</b>,Apply [effect0.status0.power] <b>Rage</b>,Apply [effect0.status0.power] <b>Rage</b>,Apply [effect0.status0.power] <b>Rage</b>,Apply [effect0.status0.power] <b>Rage</b>
Card_XXVIII,Text,,,,,Spice Cook,Cuistot Épicé,Spice Cook,Spice Cook,Spice Cook,Spice Cook
Mon_VIII,Text,,,,,Spawn a Cayenne,Invoque un Cayenne,Spawn a Cayenne,Spawn a Cayenne,Spawn a Cayenne,Spawn a Cayenne
Card_XXIX,Text,,,,,Tea Maid,Thérapiste,Tea Maid,Tea Maid,Tea Maid,Tea Maid
Mon_IX,Text,,,,,Cure all negative effects,Soigne Tout les éffets négatifs,Cure all negative effects,Cure all negative effects,Cure all negative effects,Cure all negative effects
Card_XXX,Text,,,,,Pyre-Tatoe,Patate-Brasier,Pyre-Tatoe,Pyre-Tatoe,Pyre-Tatoe,Pyre-Tatoe
Mon_X,Text,,,,,Deal 5 damage to everyone,Inflige 5 dégât à tout le monde,Deal 5 damage to everyone,Deal 5 damage to everyone,Deal 5 damage to everyone,Deal 5 damage to everyone
Card_XXXI,Text,,,,,Sweetling,Sweetling,Sweetling,Sweetling,Sweetling,Sweetling
Mon_XI,Text,,,,,+ 1 [attack] and 2 [health],+ 1 [attack] et 2 [health],+ 1 [attack] and 2 [health],+ 1 [attack] and 2 [health],+ 1 [attack] and 2 [health],+ 1 [attack] and 2 [health]
Card_XXXII,Text,,,,,V.I.Imp,V.I.Imp,V.I.Imp,V.I.Imp,V.I.Imp,V.I.Imp
Mon_XII,Text,,,,,Gain 20 [coin],Confère 20 [coin],Gain 20 [coin],Gain 20 [coin],Gain 20 [coin],Gain 20 [coin]
Card_XXXIII,Text,,,,,Ice Cream Butler,Majordome Glacé,Ice Cream Butler,Ice Cream Butler,Ice Cream Butler,Ice Cream Butler
Mon_XIII,Text,,,,,Apply <b>frostbite</b> [effect0.status0.power] to all enemies,Confère <b>Gelure</b> [effect0.status0.power] aux ennemis,Apply <b>frostbite</b> [effect0.status0.power] to all enemies,Apply <b>frostbite</b> [effect0.status0.power] to all enemies,Apply <b>frostbite</b> [effect0.status0.power] to all enemies,Apply <b>frostbite</b> [effect0.status0.power] to all enemies
Card_XXXIV,Text,,,,,Fast Food,Restauration Rapide,Fast Food,Fast Food,Fast Food,Fast Food
Mon_XIV,Text,,,,,Apply <b>Quick</b>,Confère <b>Rapidité</b>,Apply <b>Quick</b>,Apply <b>Quick</b>,Apply <b>Quick</b>,Apply <b>Quick</b>
,Text,,,,,,,,,,
Relic_I,Text,,,,,Silver plate,Plateau En Argent,Silver plate,Silver plate,Silver plate,Silver plate
Lore_RI,Text,,,,,"It's much easier to modify preexisting artefacts than making a completely new one. This is why the symbolism of an object is so important when using everyday objects as a base." -Rosette,"Il est plus facile de modifier des artefacts préexistant que d'en créer un tout nouveau. C'est pour cela que le symbolisme d'un objet importe beaucoup si on ce sert d'un objet de tout les jours." -Rosette,"It's much easier to modify preexisting artefacts than making a completely new one. This is why the symbolism of an object is so important when using everyday objects as a base." -Rosette,"It's much easier to modify preexisting artefacts than making a completely new one. This is why the symbolism of an object is so important when using everyday objects as a base." -Rosette,"It's much easier to modify preexisting artefacts than making a completely new one. This is why the symbolism of an object is so important when using everyday objects as a base." -Rosette,"It's much easier to modify preexisting artefacts than making a completely new one. This is why the symbolism of an object is so important when using everyday objects as a base." -Rosette
Power_RI,Text,,,,,Apply <b>Buffet</b> 2 to morsels,Confère <b>Buffet</b> 2 aux sous-bistres,Apply <b>Buffet</b> 2 to morsels,Apply <b>Buffet</b> 2 to morsels,Apply <b>Buffet</b> 2 to morsels,Apply <b>Buffet</b> 2 to morsels
Relic_II,Text,,,,,mysterious pamphlet,Brochure Mystérieuse,mysterious pamphlet,mysterious pamphlet,mysterious pamphlet,mysterious pamphlet
Lore_RII,Text,,,,,A mysterious brochure written in an ever changing dialect. It advertises a place of relaxation defined by gluttonny and lust. The Merchants seem a lot eager to show their other wares at the simple sight of this piece of paper.,Une brochure mystérieuse écrite dans un dialecte compréhensible de tous. Vante une place de relaxation définit par la gourmandise et luxure. Les Marchands sont plus ouvert a présenter leur produit à la vue de ce bout de papier.,A mysterious brochure written in an ever changing dialect. It advertises a place of relaxation defined by gluttonny and lust. The Merchants seem a lot eager to show their other wares at the simple sight of this piece of paper.,A mysterious brochure written in an ever changing dialect. It advertises a place of relaxation defined by gluttonny and lust. The Merchants seem a lot eager to show their other wares at the simple sight of this piece of paper.,A mysterious brochure written in an ever changing dialect. It advertises a place of relaxation defined by gluttonny and lust. The Merchants seem a lot eager to show their other wares at the simple sight of this piece of paper.,A mysterious brochure written in an ever changing dialect. It advertises a place of relaxation defined by gluttonny and lust. The Merchants seem a lot eager to show their other wares at the simple sight of this piece of paper.
Power_RII,Text,,,,,100% discount on shop rerolls. Does not include "taxes",Offre un Rabais de 100% sur les Renouvellement D'échope. N'inclut pas les "Taxes",100% discount on shop rerolls. Does not include "taxes",100% discount on shop rerolls. Does not include "taxes",100% discount on shop rerolls. Does not include "taxes",100% discount on shop rerolls. Does not include "taxes"
Relic_III,Text,,,,,Old Drawing,Vieux Dessin,Old Drawing,Old Drawing,Old Drawing,Old Drawing
Lore_RIII,Text,,,,,A dusty framed drawing. Nine creature are drawn with no features akin to HellBorn or Angels.,Un dessin encadrée poussiéreux. Neuf créatures sont dessinées sans traits semblables aux résidents des Enfers ou des Anges.,A dusty framed drawing. Nine creature are drawn with no features akin to HellBorn or Angels.,A dusty framed drawing. Nine creature are drawn with no features akin to HellBorn or Angels.,A dusty framed drawing. Nine creature are drawn with no features akin to HellBorn or Angels.,A dusty framed drawing. Nine creature are drawn with no features akin to HellBorn or Angels.
Power_RIII,Text,,,,,<b>Sap</b> removes +1 [attack] per stack.,<b>Affaiblissement</b> retire +1 [attack] par cumul.,<b>Sap</b> removes +1 [attack] per stack.,<b>Sap</b> removes +1 [attack] per stack.,<b>Sap</b> removes +1 [attack] per stack.,<b>Sap</b> removes +1 [attack] per stack.

Relic_IV,Text,,,,,Golden Kernels,Grains dorés,Golden Kernels,Golden Kernels,Golden Kernels,Golden Kernels
Lore_RIV,Text,,,,,Golden kernels used to enhance meals. Some look just like small gold nuggets.,Des grains dorés utilisés pour améliorer les repas. Certains ressemblent à de petites pépites d'or.,Golden kernels used to enhance meals. Some look just like small gold nuggets.,Golden kernels used to enhance meals. Some look just like small gold nuggets.,Golden kernels used to enhance meals. Some look just like small gold nuggets.,Golden kernels used to enhance meals. Some look just like small gold nuggets.
Power_RIV,Text,,,,,Gain 5 [coin] when a unit is <b>Eaten</b>.,Obtiens 5 [coin] quand une unité est <b>mangée</b>,Gain 5 [coin] when a unit is <b>Eaten</b>.,Gain 5 [coin] when a unit is <b>Eaten</b>.,Gain 5 [coin] when a unit is <b>Eaten</b>.,Gain 5 [coin] when a unit is <b>Eaten</b>.


Lore_Card_,Text,,,,,m,m,m,m,m,m
Lore_Card_I,Text,,,,,"Our doves are more akin to a living tool than actual animals. They certainly do the job when it comes time of quickly moving small objects around." -Rosette,"Nos collombes sont plus proche de l'outil vivant que de l'animal. Elles réalisent facilement les livraisons de petits objets." -Rosette,"Our doves are more akin to a living tool than actual animals. They certainly do the job when it comes time of quickly moving small objects around." -Rosette,"Our doves are more akin to a living tool than actual animals. They certainly do the job when it comes time of quickly moving small objects around." -Rosette,"Our doves are more akin to a living tool than actual animals. They certainly do the job when it comes time of quickly moving small objects around." -Rosette,"Our doves are more akin to a living tool than actual animals. They certainly do the job when it comes time of quickly moving small objects around." -Rosette
Lore_Card_II,Text,,,,,"And how do you think we came to your world?"-Rosette,"Et comment pense-tu que nous somme arrivés ici?"-Rosette,"And how do you think we came to your world?"-Rosette,"And how do you think we came to your world?"-Rosette,"And how do you think we came to your world?"-Rosette,"And how do you think we came to your world?"-Rosette
Lore_Card_III,Text,,,,,The Sweetkin's boss seems to always keep his cool but this creature from out-of-hell certainly does not hold back when provoked.,L'employeur des Sweetkin semble toujours serein. Les personnes qui le provoquent reçoivent la pleine puissance de cette créature étrangère à l'Enfer.,The Sweetkin's boss seems to always keep his cool but this creature from out-of-hell certainly does not hold back when provoked.,The Sweetkin's boss seems to always keep his cool but this creature from out-of-hell certainly does not hold back when provoked.,The Sweetkin's boss seems to always keep his cool but this creature from out-of-hell certainly does not hold back when provoked.,The Sweetkin's boss seems to always keep his cool but this creature from out-of-hell certainly does not hold back when provoked.
Lore_Card_IV,Text,,,,,"Power fantasy is a dangerous thing. You would be surprised at how much wisdom is required just to not harm oneself when using a brand new power."-Rosette,"Les rêves de puissance sont dangereux. Vous seriez surpris par le nombre de blessures causées par l'utilisation d'un nouveau pouvoir."-Rosette,"Power fantasy is a dangerous thing. You would be surprised at how much wisdom is required just to not harm oneself when using a brand new power."-Rosette,"Power fantasy is a dangerous thing. You would be surprised at how much wisdom is required just to not harm oneself when using a brand new power."-Rosette,"Power fantasy is a dangerous thing. You would be surprised at how much wisdom is required just to not harm oneself when using a brand new power."-Rosette,"Power fantasy is a dangerous thing. You would be surprised at how much wisdom is required just to not harm oneself when using a brand new power."-Rosette
Lore_Card_V,Text,,,,,"Living in a pocket dimension got its perks. Mostly about managing space and bending reality."-Rosette,"Vivre dans une dimension de poche à ses avantages. Comment gérer l'espace disponible et modeler la réalité."-Rosette,"Living in a pocket dimension got its perks. Mostly about managing space and bending reality."-Rosette,"Living in a pocket dimension got its perks. Mostly about managing space and bending reality."-Rosette,"Living in a pocket dimension got its perks. Mostly about managing space and bending reality."-Rosette,"Living in a pocket dimension got its perks. Mostly about managing space and bending reality."-Rosette
